"","species","genus","family","other","ncbi","custom","rank"
"327","Ornithodoros brasiliensis","Ornithodoros","Argasidae",NA,1,NA,"species"
"328","Ornithodoros savignyi","Ornithodoros","Argasidae",NA,1,NA,"species"
"329","Diorygopyx simpliciclunis","Diorygopyx","Scarabaeidae",NA,1,NA,"species"
"330","Diorygopyx incomptus","Diorygopyx","Scarabaeidae",NA,1,NA,"species"
"331","Lamprima sp. NLG-2014","Lamprima","Lucanidae",NA,1,NA,"species"
"332","Scirtes sp. NLG-2014","Scirtes","Scirtidae",NA,1,NA,"species"
"333",NA,"Argas","Argasidae",NA,1,NA,"genus"
"334","Ornithodoros capensis","Ornithodoros","Argasidae",NA,1,NA,"species"
"335","Paratrioza sinica","Paratrioza","Triozidae",NA,1,NA,"species"
"336","Allopsontus sp. 2 JZ-2014","Allopsontus","Machilidae",NA,1,NA,"species"
"337","Eiseniella tetraedra","Eiseniella","Lumbricidae",NA,2,NA,"species"
"338","Lepas australis","Lepas","Lepadidae",NA,1,NA,"species"
"339","Caridina gracilipes","Caridina","Atyidae",NA,1,NA,"species"
"340","Acroneuria hainana","Acroneuria","Perlidae",NA,1,NA,"species"
"341","Ephemerella sp. MT-2014","Ephemerella","Ephemerellidae",NA,1,NA,"species"
"342","Scirtothrips dorsalis","Scirtothrips","Thripidae",NA,1,NA,"species"
"343",NA,"Camaena","Camaenidae",NA,1,NA,"genus"
"344","Girardia sp. ER-2015","Girardia","Dugesiidae",NA,1,NA,"species"
"345","Crenobia alpina","Crenobia","Planariidae",NA,1,NA,"species"
"346","Obama sp. MAP-2014","Obama","Geoplanidae",NA,1,NA,"species"
"347",NA,"Holothuria","Holothuriidae",NA,2,NA,"genus"
"348",NA,NA,"Capniidae",NA,1,NA,"family"
"349","Melibe leonina","Melibe","Dendronotidae",NA,1,NA,"species"
"350","Tritonia tetraquetra","Tritonia","Tritoniidae",NA,1,NA,"species"
"351",NA,NA,"Cicadellidae",NA,1,NA,"family"
"352","Argas boueti","Argas","Argasidae",NA,1,NA,"species"
"353","Diodora graeca","Diodora","Fissurellidae",NA,1,NA,"species"
"354","Helicella itala","Helicella","Geomitridae",NA,1,NA,"species"
"355","Bactrocera latifrons","Bactrocera","Tephritidae",NA,1,NA,"species"
"356",NA,NA,"Triozidae",NA,1,NA,"family"
"357","Loxoblemmus equestris","Loxoblemmus","Gryllidae",NA,1,NA,"species"
"358","Onthophagus laticollis","Onthophagus","Scarabaeidae",NA,1,NA,"species"
"359","Scaptodera rhadamistus","Scaptodera","Scarabaeidae",NA,1,NA,"species"
"360","Onthophagus bicallosus","Onthophagus","Scarabaeidae",NA,1,NA,"species"
"361","Oniticellus egregius","Oniticellus","Scarabaeidae",NA,1,NA,"species"
"362","Onthophagus rhinolophus","Onthophagus","Scarabaeidae",NA,1,NA,"species"
"363",NA,"Oecanthus","Gryllidae",NA,1,NA,"genus"
"364","Neoperla sp. FS-2017","Neoperla","Perlidae",NA,1,NA,"species"
"365","Astralium haematragum","Astralium","Turbinidae",NA,1,NA,"species"
"366","Diadema setosum","Diadema","Diadematidae",NA,1,NA,"species"
"367","Echinothrix diadema","Echinothrix","Diadematidae",NA,1,NA,"species"
"368","Ampulex compressa","Ampulex","Ampulicidae",NA,1,NA,"species"
"369","Euborellia arcanum","Euborellia","Anisolabididae",NA,1,NA,"species"
"370","Euciroa cf. queenslandica STW-2017","Euciroa","Euciroidae",NA,1,NA,"species"
"371","Myadora brevis","Myadora","Myochamidae",NA,1,NA,"species"
"372","Tropidomya abbreviata","Tropidomya","Poromyidae",NA,1,NA,"species"
"373","Typhlatya mitchelli","Typhlatya","Atyidae",NA,1,NA,"species"
"374","Cephalodesmius laticollis","Cephalodesmius","Scarabaeidae",NA,1,NA,"species"
"375",NA,NA,"Penaeidae",NA,1,NA,"family"
"376","Gyge ovalis","Gyge","Bopyridae",NA,1,NA,"species"
"377","Zeugodacus depressus","Zeugodacus","Tephritidae",NA,1,NA,"species"
"378","Calliostoma zizyphinum","Calliostoma","Calliostomatidae",NA,1,NA,"species"
"379","Clanculus margaritarius","Clanculus","Trochidae",NA,1,NA,"species"
"380","Pylocheles mortensenii","Pylocheles","Pylochelidae",NA,1,NA,"species"
"381","Argas brumpti","Argas","Argasidae",NA,1,NA,"species"
"382","Cellana nigrolineata","Cellana","Nacellidae",NA,1,NA,"species"
"383","Apotomis turbidana","Apotomis","Tortricidae",NA,1,NA,"species"
"384",NA,"Rhagoletis","Tephritidae",NA,1,NA,"genus"
"385","Rhagoletis zephyria","Rhagoletis","Tephritidae",NA,1,NA,"species"
"386","Perlodes sp. YZD-2018","Perlodes","Perlodidae",NA,1,NA,"species"
"387","Drunella sp. JZ-2021","Drunella","Ephemerellidae",NA,1,NA,"species"
"388","Ephoron yunnanensis (nom. nud.)","Ephoron","Polymitarcyidae",NA,1,NA,"species"
"389","Leptophlebia sp. JZ-2021","Leptophlebia","Leptophlebiidae",NA,1,NA,"species"
"390",NA,NA,"Ephemerellidae",NA,1,NA,"family"
"391","Serratella sp. JZ-2021","Serratella","Ephemerellidae",NA,1,NA,"species"
"392","Sicyonia parajaponica","Sicyonia","Sicyoniidae",NA,1,NA,"species"
"393","Sicyonia lancifer","Sicyonia","Sicyoniidae",NA,1,NA,"species"
"394","Neolucanus maximus","Neolucanus","Lucanidae",NA,1,NA,"species"
"395","Calophya californica","Calophya","Calophyidae",NA,1,NA,"species"
"396","Mycopsylla gardenensis","Mycopsylla","Homotomidae",NA,1,NA,"species"
